english,tamil
Sanda Ranga Madala,சந்த ரங்க மடல
Saman Devalaye Perahera (live telecast),சமன் கோவில் ஊர்வலம் (நேரலை ஒளிபரப்பு)
Poya Day Live Telecast,போதா நேரலை ஒளிபரப்பு
Rajathasara Programme,ரஜதசர நிகழ்ச்சி
Sports Unit,விளையாட்டுப்  பிரிவு
"""Kreeda Visithuru” Programme (national & international sports events) was telecasted every week and the Dialog Kit Sports programme as a co-production with T1 Organization was telecasted every Tuesday.",விளையாட்டுப் பிரிவின் மூலம் உள்நாடு மற்றும் வெளிநாடு  என்ற ரீதியில் இடம்பெறும் விளையாட்டு நிகழ்ச்சிகளுடன் தொடர்புபட்ட தயாரிப்புகளில் குறித்த தொகுப்பை ஒவ்வொரு வாரமும் மற்றும் டயலொக் கிட் ஸ்போர்ட்ஸ் நிகழ்ச்சியை ஒவ்வொரு செவ்வாய்க்கிழமையும் ரிவி 1 நிறுவனத்துடன் கூட்டாக இணைந்து தயாரித்தல்.
The World Sports Programme (featuring international events conducted in English) was telecasted weekly on Channel Eye.,இதேபோன்று (சர்வதேச விளையாட்டு நிகழ்வுகளை ஆங்கில மொழியில் ) வேல்ட் ஸ்போட்ஸ் நிகழ்ச்சி ஒவ்வொரு வாரமும் “ஐ” அலைவரிசையில் ஒளிபரப்புச் செய்யப்படுகிறது.
Live programs telecast in 2012,2012ஆம் ஆண்டில் மேற்கொள்ளப்பட்ட நேரலை நிகழ்ச்சிகள்
London Olympic 2012 was telecasted as a live and special event for 17 days.,லண்டன் ஒலிம்பிக் போட்டியின் போது 17 நாட்களும் விசேட சந்தர்ப்பங்களாக ஒளிபரப்பு செய்யப்பட்டன.
Coca-Cola cricket pathway game events - 3rd stage - here 06 programmes were telecasted.,கொகாகோலா கிரிக்கெட் பாத்வே நிகழ்ச்சித் தொடர்கள் - 3ஆம் கட்டம் - 06 நிகழ்ச்சிகள் இங்கு ஒளிபரப்பு செய்யப்பட்டன.
New Year in Japan - New Year Celebration of the Sri Lankan people living in Japan.,ஜப்பானின் அவுருதுசிறி நிகழ்ச்சிகள் - ஜப்பானில் வாழும் இலங்கையர்களின் புத்தாண்டு கொண்டாட்டம்.
The Air Force Cycle Race(Guwavn Hamuda Papedi Savariya) - (live telecast for three days).,விமானப் படையின் சைக்கில் சவாரி - (குவன் ஹமுதா பாபெதி சவாரிய) - (மூன்று நாள் நேரடி ஒளிபரப்பு)
